大分類,中分類,No.,図 書 名,著　　　者,出　版　社,ISBN,冊 数,金 額,
5,5,31,"モバイルネットワ－ク時代の情報倫理　第２版","山住富也 

","近代科学社 ","9784764904934",1,"1,600",
5,6,1,"できるゼロからはじめるＬＩＮＥ超入門","高橋暁子　できるシリーズ編集部 

","インプレス ","9784295002536",1,"1,280",
5,6,6,"今日から使えるＬＩＮＥ ＆ Ｉｎｓｔａｇｒａｍ ＆ Ｔｗｉｔｔｅｒ ＆ Ｆａｃｅｂｏｏｋ","リブロワークス 

","ソシム ","9784802611091",1,"1,300",
6,1,8,"自分でつくるＡｃｃｅｓｓ販売・顧客・帳票管理システムかんたん入門","きたみあきこ 

","マイナビ出版 ","9784839961510",1,"2,650",
6,1,10,"Ａｃｃｅｓｓではじめるデータベース超入門　改訂２版","西村めぐみ 

","技術評論社 ","9784774189901",1,"2,040",
6,1,11,"Ａｃｃｅｓｓデータベース本格作成入門","今村ゆうこ 

","技術評論社 ","9784774188881",1,"2,480",
6,2,2,"化学系学生のためのＥｘｃｅｌ２０１６／ＶＢＡ入門","寺坂宏一 

","コロナ社 ","9784339066418",1,"2,900",
6,2,13,"会社でＥｘｃｅｌを使うということ。","日花弘子　尾崎裕子 

","ＳＢクリエイティブ ","9784797390544",1,"1,400",
6,2,17,"Ｅｘｃｅｌデ－タベ－スプロ技ＢＥＳＴセレクション","国本温子 

","技術評論社 ","9784774183732",1,"1,880",
6,2,18,"大村あつしのＥｘｃｅｌ ＶＢＡ Ｗｉｎ６４／３２ ＡＰＩプログラミング","大村あつし 

","秀和システム ","9784798047348",1,"4,000",
6,2,19,"小さな会社のＥｘｃｅｌ ＶＢＡ業務自動化アプリケ－ション作成・運用ガイド","武藤玄　早坂清志　植木悠二 

","翔泳社 ","9784798145006",1,"2,800",
6,2,33,"Ｅｘｃｅｌデ－タベ－ス入門","松本剛 

","技術評論社 ","9784774173825",1,"2,580",
6,3,4,"ひと目でわかるＯｆｆｉｃｅ ３６５サイトカスタマイズ＆開発編","奥田理恵 

","日経ＢＰマ－ケティング ","9784822253523",1,"3,200",
6,4,34,"絵で見てわかるＷｉｎｄｏｗｓインフラの仕組み","アンク 

","翔泳社 ","9784798142258",1,"2,580",
7,1,27,"はじめての人工知能","淺井登 

","翔泳社 ","9784798144658",1,"2,280",
7,1,61,"ＡＩと日本","柳川範之 

","大和書房 ","9784479796169",1,"1,600",
7,1,71,"最新図解で早わかり人工知能がまるごとわかる本","田口和裕　森嶋良子 

","ソ－テック社 ","9784800711700",1,"1,580",
7,1,76,"強いＡＩ・弱いＡＩ","鳥海不二夫 

","丸善出版 ","9784621301791",1,"1,800",
7,1,92,"「ディープ・ラーニング」ガイドブック","Ｉ／Ｏ編集部 

","工学社 ","9784777520329",1,"1,900",
7,1,99,"ＡＩ・ロボット・生命・宇宙・・・科学技術のフロントランナーがいま挑戦していること","川口淳一郎 

","秀和システム ","9784798052571",1,"1,600",
7,2,20,"ＩｏＴ入門","三菱総合研究所 

","日本経済新聞出版社 ","9784532320676",1,"1,300",
7,3,80,"ビッグデータを支える技術","西田圭介 

","技術評論社 ","9784774192253",1,"2,960",
7,3,89,"ビッグデータ解析の現在と未来","原隆浩　喜連川優 

","共立出版 ","9784320009202",1,"1,800",
8,1,65,"かんたんＣ＃　改訂２版","伊藤達也　油吉アビトス事業部 

","技術評論社 ","9784774192642",1,"2,780",
8,1,77,"かんたんＣ言語　改訂２版","大川内隆朗　大原竜男 

","技術評論社 ","9784774191805",1,"2,700",
8,1,78,"３ステップでしっかり学ぶＣ＃入門　改訂２版","杉浦賢 

","技術評論社 ","9784774191812",1,"2,680",
8,1,86,"かんたんＶｉｓｕａｌ Ｃ＋＋　改訂２版","堀義博 

","技術評論社 ","9784774192598",1,"2,980",
8,2,64,"詳細！Ｓｗｉｆｔ４","大重美幸 

","ソ－テック社 ","9784800711847",1,"3,280",
